大陆,#genre#
東森購物1台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488987.m3u8
壹電視新聞台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488993.m3u8
壹新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477087.m3u8
年代新聞高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477030.m3u8
東森新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476998.m3u8
東森新闻(备),http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/479200.m3u8
東森新聞（備）,https://yt-stream.livednow.com/stream/S5WOGu2HSes/master.m3u8
中天新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477695.m3u8
中天新闻 备,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/479209.m3u8
中天新闻（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489006.m3u8
中天新闻 备,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/519582.m3u8
中天新闻（備）,https://yt-stream.livednow.com/stream/oIgbl7t0S_w/master.m3u8
民視新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477080.m3u8
民视新闻 备,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/538797.m3u8
三立新闻 news,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/492922.m3u8
tvbs新闻(CES),http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/479199.m3u8
tvbs新闻,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/494223.m3u8
TVBS綜合高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477042.m3u8
tvbs 综合 备,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/521130.m3u8
東森財經新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477062.m3u8
非凡新聞,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477083.m3u8
東森財經（備）,https://yt-stream.livednow.com/stream/WHEPzbFA3hw/master.m3u8
viva购物台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495452.m3u8
东森购物5台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/493136.m3u8
東森電影,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476995.m3u8
緯來電影,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477063.m3u8
龍祥電影台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476979.m3u8
HBO HD,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476278.m3u8
HBO 高清 ,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476974.m3u8
東森洋片,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476997.m3u8
東森洋片台（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489001.m3u8
AXN壹湾,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476296.m3u8
好萊塢電影,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476281.m3u8
CineMax,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476283.m3u8
緯來育樂,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477081.m3u8
緯來體育,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477026.m3u8
ELEVEN SPORm3u8 1 HD,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476990.m3u8
ELEVEN SPORm3u8 2 HD,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476991.m3u8
緯來日本,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477039.m3u8
國興衛視,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476971.m3u8
